,Player,G,MP,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,OBPM,DBPM,BPM
0,Collin Sexton,33,987,23.5,0.567,0.299,0.575,4.1,9.8,7,27.8,1.6,0.3,14.2,32.9,3.2,1.2,4.4,6.5,0,6.5
1,Deandre Ayton,35,1172,32.6,0.65,0.078,0.424,13.5,28.2,21.4,10.2,1,6.1,11.3,26.6,5.5,2.1,7.6,6.8,4,10.9
2,Allonzo Trier,33,1124,22.6,0.656,0.5,0.503,1.3,9.1,5.5,17.4,1.1,1.1,13.3,23.9,4.5,1,5.5,7.9,-0.2,7.7
3,Chandler Hutchison,31,961,25.9,0.575,0.296,0.519,3.4,25.6,14.6,24.1,2.7,0.9,16.2,33.2,2.8,2.2,5,3.6,4.3,7.9
4,Jacob Evans,36,1107,20.5,0.543,0.43,0.302,5.2,12,8.7,20,2.6,3.7,12.7,22.5,2.8,3.1,5.9,4.5,6.1,10.6
5,George King,32,913,18.8,0.574,0.492,0.273,7.2,23.3,15.5,8.2,1.1,2.6,15.1,23.3,1.7,1.3,3,2.2,2.1,4.3
6,Khyri Thomas,33,1046,21.8,0.65,0.442,0.249,4,11,7.7,15.1,2.9,0.8,13.4,21,3.1,1.7,4.8,6.5,3.1,9.6
7,Kostas Antetokounmpo,29,438,13.7,0.575,0.149,0.634,7.3,16.9,12.3,5.9,1,8.3,22.9,20.9,0.2,0.5,0.7,-3.6,2.6,-1
8,Marvin Bagley III,33,1118,30.6,0.643,0.132,0.475,13.8,21.5,17.9,8.8,1.4,2.6,12.2,26.3,4.8,2.1,6.9,7.7,3,10.7
9,Grayson Allen,37,1319,18.8,0.58,0.637,0.293,1.8,8,5.1,21.2,2.8,0.2,13.8,20.7,4,2,5.9,7.1,2.3,9.4
10,Wendell Carter Jr.,37,997,28.2,0.628,0.144,0.527,12.8,23.2,18.4,13,1.7,7.6,15.8,22.8,3.6,2.3,5.9,6,7.5,13.5
11,Gary Trent Jr.,37,1253,16.7,0.567,0.564,0.227,2.9,10.3,6.8,6.8,1.9,0.4,7.4,19.5,3.3,1.8,5.1,5.4,1.8,7.2
12,Trevon Duval,37,1103,13.7,0.489,0.309,0.257,2.1,4.9,3.6,30.3,2.8,0.5,20.8,21.3,1.5,1.5,3,1.7,1.5,3.2
13,Josh Okogie,24,873,22.3,0.55,0.313,0.506,7.3,13.1,10.2,15.6,2.9,2.8,13.3,27.3,2.1,1.3,3.4,4.8,2,6.8
14,Devonte' Graham,18,39.1,5.2,13.3,2.2,6.1,2.9,7.2,0.408,5.4,6.5,0.829,0.6,3.5,7,1.5,0,18.7,0,0
15,Sviatoslav Mykhailiuk,18,35.7,4.9,11.6,1.9,4.9,3,6.7,0.446,1.3,1.6,0.793,1.3,2.8,2.8,1.1,0.3,14.1,0,0
16,Shai Gilgeous-Alexander,37,1248,21.2,0.578,0.151,0.464,3.2,10,6.8,28.8,2.8,1.7,17.9,21.9,3.3,1.9,5.2,5.5,3.6,9.1
17,Kevin Knox,37,1198,17,0.556,0.38,0.373,3.3,14.5,9.3,8.7,1.5,1,14.1,24.6,2.3,1.7,4,3.4,1.4,4.8
