Player,NBA_Season,Pos,Age,Tm,G,MP,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,Label
Dennis Schroder,2014,PG,20,ATL,49,641,5.8,0.442,0.223,0.229,0.9,9.9,5.4,22,1.3,0,22.8,19,-1.1,0.4,-0.7,-0.054,-6.2,-2.1,-8.3,-1,0
Anthony Bennett,2014,PF,20,CLE,52,663,6.9,0.425,0.236,0.307,8.1,18.4,13.1,4,1.6,1,15.5,20.3,-1.1,0.7,-0.4,-0.028,-5.8,-1.5,-7.3,-0.9,0
Ben McLemore,2014,SG,20,SAC,82,2187,7.7,0.485,0.437,0.211,2.7,9.5,6.1,5.8,1,0.7,11.5,16.9,-0.1,0.9,0.8,0.016,-1.8,-1.3,-3.2,-0.6,0
Ray McCallum,2014,PG,22,SAC,45,897,9.7,0.439,0.197,0.143,2.2,7.8,5,21,1.2,0.8,10.9,17.6,0,0.4,0.4,0.02,-2.3,-1.7,-4.1,-0.5,0
Nate Wolters,2014,PG,22,MIL,58,1309,12.7,0.486,0.159,0.231,2.8,10.5,6.5,23.3,1.4,0.9,11.7,16.8,0.9,0.2,1.2,0.043,-1.4,-2.1,-3.4,-0.5,0
Alex Len,2014,C,20,PHO,42,362,7.3,0.469,0,0.397,12.1,18.6,15.3,1.6,0.6,3.8,22.1,14.3,-0.2,0.4,0.2,0.024,-5.7,-0.2,-5.9,-0.4,0
Otto Porter,2014,SF,20,WAS,37,319,6,0.405,0.231,0.132,7.5,13.3,10.4,4.6,1.3,0.3,12.7,15.6,-0.4,0.3,0,-0.006,-5.4,-1.4,-6.8,-0.4,0
Lorenzo Brown,2014,PG,23,PHI,26,224,8.2,0.349,0.349,0.151,3.7,10,6.8,27.5,2.8,1.1,14.9,20.4,-0.5,0.2,-0.3,-0.068,-5,-1.8,-6.8,-0.3,0
Reggie Bullock,2014,SF,22,LAC,43,395,6.7,0.46,0.603,0.074,3.2,11.7,7.6,4.3,1.1,0.2,9.4,15.4,-0.2,0.3,0.2,0.019,-2.9,-1.8,-4.7,-0.3,0
Trey Burke,2014,PG,21,UTA,70,2262,12.6,0.473,0.375,0.126,1.8,9,5.3,29.4,1,0.2,12.2,21.8,1,0,0.9,0.02,0.5,-3,-2.5,-0.3,0
Rudy Gobert,2014,C,21,UTA,45,434,12.9,0.507,0,0.878,13.1,28.5,20.6,2.4,1,7.4,23.8,14.2,-0.2,0.6,0.4,0.045,-6.1,1.8,-4.3,-0.3,0
Archie Goodwin,2014,SG,19,PHO,52,533,10.3,0.507,0.216,0.329,5.3,13,9.2,5.7,1.9,1.6,18.7,19.4,-0.3,0.5,0.2,0.018,-3.9,-0.4,-4.3,-0.3,0
Shane Larkin,2014,PG,21,DAL,48,489,8.3,0.446,0.277,0.182,2.6,7.3,5,20.4,2.7,0.2,20.9,17.4,-0.4,0.3,-0.1,-0.01,-3.5,-1.2,-4.7,-0.3,0
CJ McCollum,2014,SG,22,POR,38,476,9,0.521,0.449,0.191,1.6,9.2,5.4,8.7,1.5,0.3,15.4,20.9,-0.2,0.3,0.2,0.019,-2.1,-2,-4.1,-0.3,0
Shabazz Muhammad,2014,SG,21,MIN,37,290,13.1,0.505,0.089,0.323,8.8,11.2,10,3.4,1.4,0.3,10.2,23.1,0.1,0.2,0.3,0.053,-3.1,-3.1,-6.2,-0.3,0
Nemanja Nedovic,2014,SG,22,GSW,24,142,-1.7,0.306,0.462,0.205,2.3,9.1,5.8,12.1,0,0.5,23.4,17.2,-0.5,0.1,-0.4,-0.132,-8.9,-1.6,-10.6,-0.3,0
Peyton Siva,2014,SG,23,DET,24,224,5.7,0.425,0.439,0.263,0.9,6.2,3.4,21,2,0.4,22.1,15.6,-0.2,0.1,-0.2,-0.032,-4.4,-2.8,-7.3,-0.3,0
Tony Snell,2014,SG,22,CHI,77,1231,8,0.489,0.53,0.122,1.8,9.6,5.7,9.1,1.3,0.9,11.1,14.9,-0.1,1.7,1.6,0.063,-2.9,-0.2,-3,-0.3,0
Sergey Karasev,2014,SF,20,CLE,22,156,2.3,0.47,0.543,0.286,0,11.8,5.8,5.6,1,0.5,21.8,14.4,-0.2,0.1,-0.1,-0.041,-5.9,-1.6,-7.5,-0.2,0
Mike Muscala,2014,PF,22,ATL,20,215,10.8,0.48,0.041,0.192,9.2,18.7,14,5.2,0.7,3.7,13.2,19.3,-0.1,0.2,0.2,0.04,-5.6,-0.4,-6,-0.2,0
Isaiah Canaan,2014,PG,22,HOU,22,252,9.5,0.506,0.632,0.333,3.3,7.1,5.3,13.2,1.6,1.2,17.4,21,0,0.2,0.2,0.031,-1.4,-2.1,-3.4,-0.1,0
Allen Crabbe,2014,SG,21,POR,15,100,7.7,0.475,0.424,0.121,1.1,8.5,4.8,8.7,1,0.7,7.9,16.5,0,0.1,0.1,0.037,-2.7,-2.1,-4.7,-0.1,0
Jamaal Franklin,2014,SG,22,MEM,21,161,4.7,0.489,0.282,0.051,2.9,14,8.5,5.4,1.3,1,21.6,14.6,-0.2,0.2,0,-0.002,-5.1,-0.2,-5.4,-0.1,0
Tim Hardaway,2014,SG,21,NYK,81,1875,12.7,0.554,0.521,0.186,1.2,6.6,3.8,5.8,1.2,0.3,5.9,19.6,2.7,0.4,3.1,0.08,1.3,-3.5,-2.3,-0.1,0
Erik Murphy,2014,C,23,CHI,24,62,0.2,0.231,0.231,0,3.7,10.8,7.3,4.9,0,5,13.3,11.2,-0.2,0.1,-0.1,-0.055,-9.8,1.8,-8.1,-0.1,0
Glen Rice,2014,SG,23,WAS,11,109,6.6,0.399,0.459,0.189,4.2,17.3,10.6,9.3,2.8,0.8,18.3,20.3,-0.3,0.2,-0.1,-0.043,-5.9,0,-5.8,-0.1,0
Kentavious Caldwell-Pope,2014,SG,20,DET,80,1583,9.4,0.483,0.402,0.133,2.5,8.6,5.4,5,2.4,0.6,5.4,13.9,1,0.8,1.8,0.055,-1.2,-0.8,-2.1,0,0
Carrick Felix,2014,SG,23,CLE,7,38,13.3,0.603,0.357,0.286,2.9,15.1,8.9,18.2,0,0,20.2,23.2,0,0,0,0.057,-1.1,-3.5,-4.7,0,0
Solomon Hill,2014,SF,22,IND,28,226,7.6,0.545,0.575,0.175,4.7,15.2,10.2,7.9,1.1,0.7,23.2,11.3,0,0.4,0.4,0.08,-3.3,1,-2.3,0,0
Ricky Ledo,2014,SG,21,DAL,11,33,12.7,0.506,0.471,0.235,0,7,3.5,9.5,1.6,0,9.6,28.6,0,0,0,0.024,-1.6,-5.6,-7.2,0,0
Zach LaVine,2015,PG,19,MIN,77,1902,11.3,0.515,0.247,0.261,1.6,11.6,6.4,24,1.4,0.4,20.4,22,-0.7,0,-0.7,-0.018,-1.7,-2.7,-4.5,-1.2,0
Dante Exum,2015,PG,19,UTA,82,1817,5.7,0.457,0.635,0.077,1.7,6.6,4.2,16.6,1.2,0.6,21.5,13.8,-1.1,1,-0.1,-0.003,-2.6,-1.3,-3.8,-0.8,0
Adreian Payne,2015,PF,23,TOT,32,739,7.7,0.443,0.041,0.209,7.2,18.2,12.5,6.4,1.3,1,15.5,17,-0.7,0.2,-0.5,-0.033,-4.6,-1.3,-5.9,-0.7,0
Cleanthony Early,2015,SF,23,NYK,39,647,8.4,0.447,0.393,0.224,3.8,13.8,8.7,9.1,2,1.5,14.5,19.6,-0.8,0.4,-0.4,-0.03,-3.8,-1.3,-5.2,-0.5,0
Tyler Ennis,2015,PG,20,TOT,33,411,7.3,0.411,0.299,0.049,1.9,7.7,4.8,27.3,2.2,1,22.2,20.6,-0.8,0.5,-0.3,-0.04,-5.2,-1.5,-6.7,-0.5,0
Jerami Grant,2015,SF,20,PHI,65,1377,8.7,0.47,0.443,0.548,3.7,12.3,7.8,9.4,1.5,4,16.3,16.5,-0.9,1.4,0.5,0.019,-4.3,1,-3.3,-0.5,0
Doug McDermott,2015,SF,23,CHI,36,321,6.1,0.48,0.383,0.14,2.1,12.2,7.3,3,0.6,0.2,13,18.3,-0.3,0.2,0,-0.005,-4.8,-3.3,-8,-0.5,0
