,Player,NBA_Season,Pos,Age,Tm,G,MP,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,Label,WAR
0,Dennis Schroder,2014,PG,20,ATL,49,641,5.8,0.442,0.223,0.22899999999999998,0.9,9.9,5.4,22.0,1.3,0.0,22.8,19.0,-1.1,0.4,-0.7,-0.054000000000000006,-6.2,-2.1,-8.3,-1.0,0,-2.7
1,Anthony Bennett,2014,PF,20,CLE,52,663,6.9,0.425,0.23600000000000002,0.307,8.1,18.4,13.1,4.0,1.6,1.0,15.5,20.3,-1.1,0.7,-0.4,-0.027999999999999997,-5.8,-1.5,-7.3,-0.9,0,-2.43
2,Ben McLemore,2014,SG,20,SAC,82,2187,7.7,0.485,0.43700000000000006,0.21100000000000002,2.7,9.5,6.1,5.8,1.0,0.7,11.5,16.9,-0.1,0.9,0.8,0.016,-1.8,-1.3,-3.2,-0.6,0,-1.62
3,Ray McCallum,2014,PG,22,SAC,45,897,9.7,0.439,0.19699999999999998,0.14300000000000002,2.2,7.8,5.0,21.0,1.2,0.8,10.9,17.6,0.0,0.4,0.4,0.02,-2.3,-1.7,-4.1,-0.5,0,-1.35
4,Nate Wolters,2014,PG,22,MIL,58,1309,12.7,0.486,0.159,0.231,2.8,10.5,6.5,23.3,1.4,0.9,11.7,16.8,0.9,0.2,1.2,0.043,-1.4,-2.1,-3.4,-0.5,0,-1.35
5,Alex Len,2014,C,20,PHO,42,362,7.3,0.469,0.0,0.397,12.1,18.6,15.3,1.6,0.6,3.8,22.1,14.3,-0.2,0.4,0.2,0.024,-5.7,-0.2,-5.9,-0.4,0,-1.08
6,Otto Porter,2014,SF,20,WAS,37,319,6.0,0.405,0.231,0.132,7.5,13.3,10.4,4.6,1.3,0.3,12.7,15.6,-0.4,0.3,0.0,-0.006,-5.4,-1.4,-6.8,-0.4,0,-1.08
7,Lorenzo Brown,2014,PG,23,PHI,26,224,8.2,0.349,0.349,0.151,3.7,10.0,6.8,27.5,2.8,1.1,14.9,20.4,-0.5,0.2,-0.3,-0.068,-5.0,-1.8,-6.8,-0.3,0,-0.81
8,Reggie Bullock,2014,SF,22,LAC,43,395,6.7,0.46,0.603,0.07400000000000001,3.2,11.7,7.6,4.3,1.1,0.2,9.4,15.4,-0.2,0.3,0.2,0.019,-2.9,-1.8,-4.7,-0.3,0,-0.81
9,Trey Burke,2014,PG,21,UTA,70,2262,12.6,0.473,0.375,0.126,1.8,9.0,5.3,29.4,1.0,0.2,12.2,21.8,1.0,0.0,0.9,0.02,0.5,-3.0,-2.5,-0.3,0,-0.81
10,Rudy Gobert,2014,C,21,UTA,45,434,12.9,0.507,0.0,0.878,13.1,28.5,20.6,2.4,1.0,7.4,23.8,14.2,-0.2,0.6,0.4,0.045,-6.1,1.8,-4.3,-0.3,0,-0.81
11,Archie Goodwin,2014,SG,19,PHO,52,533,10.3,0.507,0.21600000000000003,0.32899999999999996,5.3,13.0,9.2,5.7,1.9,1.6,18.7,19.4,-0.3,0.5,0.2,0.018000000000000002,-3.9,-0.4,-4.3,-0.3,0,-0.81
12,Shane Larkin,2014,PG,21,DAL,48,489,8.3,0.446,0.27699999999999997,0.182,2.6,7.3,5.0,20.4,2.7,0.2,20.9,17.4,-0.4,0.3,-0.1,-0.01,-3.5,-1.2,-4.7,-0.3,0,-0.81
13,CJ McCollum,2014,SG,22,POR,38,476,9.0,0.521,0.449,0.191,1.6,9.2,5.4,8.7,1.5,0.3,15.4,20.9,-0.2,0.3,0.2,0.019,-2.1,-2.0,-4.1,-0.3,0,-0.81
14,Shabazz Muhammad,2014,SG,21,MIN,37,290,13.1,0.505,0.08900000000000001,0.32299999999999995,8.8,11.2,10.0,3.4,1.4,0.3,10.2,23.1,0.1,0.2,0.3,0.053,-3.1,-3.1,-6.2,-0.3,0,-0.81
15,Nemanja Nedovic,2014,SG,22,GSW,24,142,-1.7,0.306,0.462,0.205,2.3,9.1,5.8,12.1,0.0,0.5,23.4,17.2,-0.5,0.1,-0.4,-0.132,-8.9,-1.6,-10.6,-0.3,0,-0.81
16,Peyton Siva,2014,SG,23,DET,24,224,5.7,0.425,0.439,0.263,0.9,6.2,3.4,21.0,2.0,0.4,22.1,15.6,-0.2,0.1,-0.2,-0.032,-4.4,-2.8,-7.3,-0.3,0,-0.81
17,Tony Snell,2014,SG,22,CHI,77,1231,8.0,0.489,0.53,0.122,1.8,9.6,5.7,9.1,1.3,0.9,11.1,14.9,-0.1,1.7,1.6,0.063,-2.9,-0.2,-3.0,-0.3,0,-0.81
18,Sergey Karasev,2014,SF,20,CLE,22,156,2.3,0.47,0.5429999999999999,0.28600000000000003,0.0,11.8,5.8,5.6,1.0,0.5,21.8,14.4,-0.2,0.1,-0.1,-0.040999999999999995,-5.9,-1.6,-7.5,-0.2,0,-0.54
19,Mike Muscala,2014,PF,22,ATL,20,215,10.8,0.48,0.040999999999999995,0.192,9.2,18.7,14.0,5.2,0.7,3.7,13.2,19.3,-0.1,0.2,0.2,0.04,-5.6,-0.4,-6.0,-0.2,0,-0.54
20,Isaiah Canaan,2014,PG,22,HOU,22,252,9.5,0.506,0.632,0.33299999999999996,3.3,7.1,5.3,13.2,1.6,1.2,17.4,21.0,0.0,0.2,0.2,0.031,-1.4,-2.1,-3.4,-0.1,0,-0.27
21,Allen Crabbe,2014,SG,21,POR,15,100,7.7,0.475,0.424,0.121,1.1,8.5,4.8,8.7,1.0,0.7,7.9,16.5,0.0,0.1,0.1,0.037000000000000005,-2.7,-2.1,-4.7,-0.1,0,-0.27
22,Jamaal Franklin,2014,SG,22,MEM,21,161,4.7,0.489,0.282,0.051,2.9,14.0,8.5,5.4,1.3,1.0,21.6,14.6,-0.2,0.2,0.0,-0.002,-5.1,-0.2,-5.4,-0.1,0,-0.27
